Level Index,Topic,Description
1,Homepage,Basic landing page with cards linking to main sections.
1.1,Documentation,Concepts & Fundamentals / Deep Dive. Once we get our core documents in place we should consider expanding to include applicable topics from https://wiki.polkadot.network/  
1.1.1,What is Polymesh / Introduction,High level overview of Polymesh - extensive functionality out of the box without smart contracts
1.1.2,Blockchain Specific - Technical Stack + Architecture + Consensus?,Link to Polymesh Rust Docs
1.1.3,POLYX Token + Tokenomics,
1.1.3.1,Staking,
1.1.3.2,Fees Tx + Protocol,
1.1.4,Identity Basics,
1.1.4.1,Identity Verification / Onboarding,(section to explain the purpose of the CDD process
1.1.4.2,Permissioned Roles,"CDD providers, Node operators, Governing Council"
1.1.5,Identity (Advanced),Identity diagram - Signing keys / Child identities / Portfolios / Custody / Smart Contracts / Confidential Accounts
1.1.5.1,Secondary keys,
1.1.5.2,Multisigs,
1.1.5.3,Smart contract reference to identity?,
1.1.5.4,Child Identities,
1.1.5.5,Confidential Accounts? ,Possibly not in main documentation / separate sections for confidential assets/ accounts etc.
1.1.6,Governance,"Treasury (grants), PIP's and Committee structure etc."
1.1.7,Assets,
1.1.7.1,Fungible Assets,
1.1.7.2,Non Fungible Assets,
1.1.7.3,Metadata,
1.1.7.4,Confidential Assets?,Possibly not in main documentation / separate sections for confidential assets/ accounts etc.
1.1.8,Authorizations,
1.1.9,"Rules, Compliance and Transfer Restrictions",
1.1.10,Settlement,
1.1.10.1,Venues,
1.1.10.2,Mediators,
1.1.10.3,Off Chain Legs/Receipts,
1.1.11,Portfolios and Custody,
1.1.12,External Agents,
1.1.13,Corporate Actions,
1.1.13.1,Checkpoints,
1.1.13.2,Dividends,
1.1.14,Relayer / Subsidizing accounts,Could also mention as derivative keys and relayTx i.e. submitting someone else's signed transaction on their behalf
1.1.15,Confidentiallity,As it's currently Private specific we may not be included
1.1.15.1,Confidential Accounts,
1.1.15.2,,
1.1.15.3,Confidential Settlement,
1.1.16,STO?,Do we highlight the onchain STO functionality?
1.1.17,Glossary,Definations of commonly used terms
1.2,Getting Started,"The basics for getting started, key generation wallet options, onboarding, getting POLYX. This is not specifically targeted at developers as everyone needs to generate keys and onboard before they can do anything. "
1.2.1,Getting a signing key,"Basic - use the polymesh wallet + other 3rd party options. Link to a Developer/Advanced section - SR25519 / ED25519 - Subkey, dev (well known keys) local signer, chrome extensions, signing managers. Need to cater for developers but also for average users. Mention other signing manager e.g. Hashicorp Vault, Fireblocks raw signer and that they other signing solutions can be integrated via custom signing managers."
1.2.1.1,Ledger Hardware Wallet,ledger specific page linked from getting key
1.2.2,Onboarding,Onboarding to polymesh (testnet and mainnet) - Business should contact the association. Need to have a brief introduction about the concept of identity on polymesh so people understand the purpose of onboarding. Can link to a more detailed explanation about identity. 
1.3,Developer Docs,
1.3.1,Local Development Environment,Development env Docker compose
1.3.2,Run a Node,
1.3.2.1,Running a node from binary,
1.3.2.2,Running a node with Docker,
1.3.2.3,Running a node as a Permissioned Operator,
1.3.3,SubQuery,
1.3.3.1,Getting Started,
1.3.4,SDK,Link to SDK docs
1.3.4.1,Getting Started,
1.3.4.2,Signing Managers,More in depth than earlier mention in getting keys 
1.3.4.3,Tutorials,
1.3.4.4,Polkadot API?,
1.3.4.5,Polymesh Types repo?,
1.3.5,REST API,link to swagger / Postman / Apidog
1.3.5.1,Getting Started,
1.3.5.2,Tutorials,
1.3.6,Rust API,link to RUST API docs
1.3.6.1,Getting Started,
1.3.6.2,Tutorials,
1.3.7,Smart Contracts (ink!),
1.3.7.1,Getting Started,
1.3.7.2,Chain Extensions,
1.3.7.3,Upgradeable Smart Contracts ,
1.3.7.4,Polymesh-ink,
1.3.7.5,Tutorials,
1.3.8,Exchange Integration Guide,
1.3.8.1,API sidecar / Offline signer examples repo etc.,
1.3.9,CDD Provider Integration Guide?,
1.3.10,Tools and References,"github, mainnet/testnet-app, subscan, portal, rpc endpoints, rest api subquery instances, polkassembly, token Studio etc."
1.3.11,Bug Bounty Details,
1.4,Tutorials,"page with links directly to tutorials sections for SDK,REST API, Rust API, Smart Contracts etc."
1.5,Discussion Forum,Longterm goal - consider creating a Discourse forum or similar to allow better discussions. https://www.discourse.org/ similar to Polkadot https://forum.polkadot.network/ 
1.6,Code Sandbox,Long term goal
